Comment,Designator,Footprint,LCSC
RB060MM_60TR,D_LDO1,D_SOD-123,C115330
PRTR5V0U2X,D_ESD1,SOT143B,C12333
SM9.0CA,D_PWR1,D_SOD-123,C123799
100n,"C_VDD1,C_VDD2,C_VDDIO2",C_0402_1005Metric,C1525
4.7n,C_Shield1,C_0402_1005Metric,C1538
10u,C_VDDA1,C_0402_1005Metric,C15525
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-Assembly,C165948
SW_SPDT,BOOT1,SW_SPDT_PCM12,C221841
4.7u,"C_VDD3,C_VDDIO1",C_0402_1005Metric,C23733
R_Small,"R_LED1,R_LED2,R_LED3",R_0402_1005Metric,C25091
100k,"R_LDO1,R_LDO2",R_0402_1005Metric,C25741
10k,"R_BOOT1,R_RGB1",R_0402_1005Metric,C25744
5k1,"R_USB1,R_USB2",R_0402_1005Metric,C25905
1M,R_Shield1,R_0402_1005Metric,C26083
SW_Push,RESET1,SW_SPST_TL3342,C318884
MCP1700-3302E_SOT23,U_Power1,SOT-23,C39051
1u,"C_LDO1,C_LDO2,C_VDDA2",C_0402_1005Metric,C52923
D_Small,"D_SW_0,D_SW_1,D_SW_2,D_SW_3,D_SW_4,D_SW_5,D_SW_6,D_SW_7,D_SW_8,D_SW_9,D_SW_A1,D_SW_B1,D_SW_B2,D_SW_Back1,D_SW_C1,D_SW_Caps1,D_SW_Comm1,D_SW_D1,D_SW_Dash1,D_SW_Del1,D_SW_Dn1,D_SW_E1,D_SW_Enter1,D_SW_Eql1,D_SW_Esc1,D_SW_F1,D_SW_Fn1,D_SW_G1,D_SW_H1,D_SW_J1,D_SW_K1,D_SW_L1,D_SW_LAlt1,D_SW_LBrc1,D_SW_LCtl1,D_SW_LFn1,D_SW_LSft1,D_SW_LSpc1,D_SW_M1,D_SW_N1,D_SW_O1,D_SW_P1,D_SW_PP2,D_SW_Pipe1,D_SW_Q1,D_SW_Quot1,D_SW_R1,D_SW_RAlt1,D_SW_RBrc1,D_SW_RCtl1,D_SW_RSpc1,D_SW_Rsft1,D_SW_S1,D_SW_Scln1,D_SW_Slsh1,D_SW_Stop1,D_SW_T1,D_SW_Tab1,D_SW_U1,D_SW_Up1,D_SW_V1,D_SW_W1,D_SW_X1,D_SW_Y1,D_SW_Z1",D_SOD-123,C64898
STM32F072C8Tx,U_MCU1,LQFP-48_7x7mm_P0.5mm,C80488
500mA,F1,Fuse_0805_2012Metric,C883103
